Company,EIN,Type,Lat,Long,Address,Average Start of Year Balance,Average End of Year Balance
Metropolitan Opera,131624087,Opera,40.7729,-73.9843,"Lincoln Center, 30 Lincoln Center Plaza, New York, NY 10023, United States",211865673,218976800
San Francisco Opera,940836240,Opera,37.7789,-122.4201,"301 Van Ness Ave, San Francisco, CA 94102, United States",172454648,182320592
Lyric Opera of Chicago,366008929,Opera,41.8827,-87.6326,"20 N Wacker Dr, Chicago, IL 60606, United States",46455320,48668956
Los Angeles Opera Company,952096402,Opera,34.0522,-118.2509,"135 N Grand Ave, Los Angeles, CA 90012, United States",14546780,15982337
The Santa Fe Opera,850131810,Opera,35.717,-105.9392,"301 Opera Dr, Santa Fe, NM 87506, United States",50127980,52689001
The Atlanta Opera,581371843,Opera,33.7941,-84.3957,"1575 Northside Dr NW, Atlanta, GA 30318, United States",6710426,7265781
Houston Grand Opera,746016764,Opera,29.765,-95.3687,"510 Preston St, Houston, TX 77002, United States",55104593,58011154
Utah Symphony and Opera,510145980,Opera,40.7683,-111.8955,"123 W South Temple, Salt Lake City, UT 84101, United States",32814756,33551541
Seattle Opera,910760426,Opera,47.6245,-122.3545,"1020 John St, Seattle, WA 98109, United States",24478278,25031171
Detroit Opera,382052726,Opera,42.3376,-83.0495,"1526 Broadway St, Detroit, MI 48226, United States",4827745,5018196
Royal National Theatre,383866410,Theatre,51.5076,-0.1148,"South Bank, Lambeth, London SE1 9PX, United Kingdom",59409413,68104060
Roundabout Theatre Company,136192346,Theatre,40.7592,-73.9895,"231 W 39th St, New York, NY 10018, United States",24863637,29361926
Vivian Beaumont Theater,133004747,Theatre,40.7724,-73.9836,"150 W 65th St, New York, NY 10023, United States",91912128,93993885
Center Theatre Group of Los Angeles,952466183,Theatre,34.0394,-118.2368,"601 W Temple St, Los Angeles, CA 90012, United States",43217756,44487860
Gunthrie Theater,410854160,Theatre,44.9781,-93.2554,"818 S 2nd St, Minneapolis, MN 55415, United States",46193720,47961128
Hennepin Theatre Trust,412017278,Theatre,44.9795,-93.2724,"900 Hennepin Ave, Minneapolis, MN 55403, United States",NA,NA
Hale Centre Theatre,841420029,Theatre,40.6034,-111.9391,"9900 S Monroe St, Sandy, UT 84070, United States",NA,NA
Milwaukee Repertory Theater,390946025,Theatre,43.0377,-87.91,"108 E Wells St, Milwaukee, WI 53202, United States",13412139,15223404
Old Globe Theatre,951543396,Theatre,32.7313,-117.149,"1363 Old Globe Way, San Diego, CA 92101, United States",472415,520661
The Muny,430662485,Theatre,38.6448,-90.284,"1 Theatre Dr, St. Louis, MO 63112, United States",10531912,13821844
San Francisco Symphony,941156284,Symphony,37.7776,-122.4167,"201 Van Ness Ave, San Francisco, CA 94102, United States",291698552,297394960
New York Philharmonic,131664054,Symphony,40.7727,-73.9846,"10 Lincoln Center Plaza, New York, NY 10023, United States",199917693,204586051
Boston Symphony Orchestra,42103550,Symphony,42.3434,-71.0867,"301 Massachusetts Ave, Boston, MA 02115, United States",NA,NA
Chicago Symphony Orchestra,362167823,Symphony,41.8787,-87.6218,"220 S Michigan Ave, Chicago, IL 60604, United States",276934857,287398857
San Diego Symphony Orchestra,952040874,Symphony,32.7166,-117.162,"750 B St #1700, San Diego, CA 92101, United States",960161,970116
Saint Louis Symphony Orchestra,430666769,Symphony,38.6342,-90.2303,"718 N Grand Blvd, St. Louis, MO 63103, United States",2843421,2532460
Cincinnati Symphony Orchestra,310537080,Symphony,39.1096,-84.511,"1241 Elm St, Cincinnati, OH 45202, United States",114850662,131992145
Dallas Symphony,750705442,Symphony,32.7909,-96.797,"2301 Flora St, Dallas, TX 75201, United States",6954698,7027035
Detroit Symphony Orchestra,381385132,Symphony,42.3367,-83.0468,"3711 Woodward Ave, Detroit, MI 48201, United States",24008011,27409971
Houston Symphony,741157373,Symphony,29.7619,-95.3698,"615 Louisiana St #102, Houston, TX 77002, United States",72066616,73022735
New York City Ballet,132947386,Ballet,40.772392,-73.98407,"David H. Koch Theater, 20 Lincoln Center Plaza, New York, NY 10023, United States",171425046,179613820
San Francisco Ballet,941415298,Ballet,37.7786,-122.4219,"455 Franklin St, San Francisco, CA 94102, United States",86407875,92813902
Alvin Ailey American Dance Theater,132584273,Ballet,40.7597,-73.9657,"404 W 55th St, New York, NY 10019, United States",57470263,61031880
American Ballet Theatre,131882106,Ballet,40.7142,-74.0064,"890 Broadway, New York, NY 10003, United States",18961100,19693459
Houston Ballet,741394920,Ballet,29.7628,-95.3831,"601 Preston St, Houston, TX 77002, United States",63826314,67169334
Boston Ballet,42312734,Ballet,42.3499,-71.0826,"19 Clarendon St, Boston, MA 02116, United States",NA,NA
Pacific Northwest Ballet,910897129,Ballet,47.6185,-122.3544,"301 Mercer St, Seattle, WA 98109, United States",16077753,16732508
Miami City Ballet,592578534,Ballet,25.7636,-80.1917,"2200 Liberty Ave, Miami Beach, FL 33139, United States",1544269,1738186
The Joffrey Ballet,364009741,Ballet,41.8789,-87.6359,"10 E Randolph St, Chicago, IL 60601, United States",1033690,1208960
Philadelphia Ballet,231629970,Ballet,39.9496,-75.166,"323 N Broad St, Philadelphia, PA 19107, United States",3421369,3345388
